title,dir_gender,genre
Spider-Man: Across the Spider-Verse,M,animación
Reflect,M,corto
Ant-Man and the Wasp: Quantumania,M,acción
Pathaan,M,acción
Infinity Pool,M,terror
Astérix et Obélix: L'Empire du Milieu,M,aventura
Cocaine Bear,F,comedia
Les choses simples,M,comedia
65,M,acción
SCREAM VI,M,terror
Creed 3,M,drama
Dungeons and Dragons: Honour Among Thieves,M,aventura
Air,M,drama
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,M,animación
Chupa,M,acción
Evil Dead Rise,M,terror
Tetris,M,biografía
Are You There God? It's Me Margaret,F,drama
"Super Mario Bros Movie, The",M,animación
"Young Arsonists, The",F,drama
Je verrai toujours vos visages,F,drama
Bad Living,M,drama
Fast X,M,acción
InCar,M,suspense
Barbie,F,comedia
Indiana Jones and the Dial of Destiny,M,aventura
Nimona,M,animación
Reality,F,drama
No Hard Feelings,M,comedia
Mission: Impossible - Dead Reckoning Part 1,M,acción
Oppenheimer,M,biografía
"Perfect Find, The",F,comedia
Asteroid City,M,comedia
Polite Society,F,comedia
Guardians of the Galaxy Vol. 3,M,acción
Jules,M,comedia
Tarla,M,biografía
Renfield,M,comedia
Happiness for Beginners,F,comedia
Champions,M,comedia
Heart of Stone,M,acción
Blue Beetle,M,acción
"Priest's Exorcist, The",M,terror
Concrete Utopia,M,acción
Beau is Afraid,M,drama
Bottoms,F,comedia
Winnie-the-Pooh: Blood and Honey,M,terror
Haunted Mansion,M,comedia
"Portable Door, The",M,aventura
Anatomie d'une chute,F,drama
Slotherhouse,M,terror